Date,AMZN,DPZ,BTC,NFLX,AMZN_Return,DPZ_Return,BTC_Return,NFLX_Return,AMZN_CumulativeReturn,DPZ_CumulativeReturn,BTC_CumulativeReturn,NFLX_CumulativeReturn
2018-06-15,1715.969971,275.463837,6503.100098,391.980011,-0.004576945963508772,0.013484382664562089,0.01663200889967631,-0.002265339708622971,5.91282277988678,4.381100749716037,60.20564798117632,11.887417701257982
2018-06-18,1723.790039,279.824127,6741.279785,390.399994,0.004557228932999813,0.015828901708066834,0.036625560641954547,-0.004030861155315368,5.94432609586798,4.466277664564497,62.44733915294102,11.835470309853658
2018-06-19,1734.780029,285.445862,6761.27002,404.980011,0.0063754806277773746,0.02009024404103643,0.0029653471799939712,0.03734635559446242,5.988599512365155,4.576096516841664,62.635482541176316,12.314828348267618
2018-06-20,1750.079956,285.952393,6720.640137,416.76001,0.00881951990698182,0.0017745256366688,-0.006009208755132556,0.029087852931092062,6.0502356048863835,4.58599144306334,62.25308364235279,12.702128117064762
2018-06-21,1730.219971,288.79303,6051.470215,415.440002,-0.011348044374722255,0.009933950788794554,-0.09956937261317311,-0.003167309646623817,5.970229218389886,4.641482407165358,55.95501378823516,12.658729234500306
2018-06-22,1715.670044,290.412018,6166.540039,411.089996,-0.00840929317882666,0.005606049425777249,0.019015184725651002,-0.010470840504184342,5.911614517368822,4.67310883637458,57.038023896470456,12.515710859196014
2018-06-25,1663.150024,277.619141,6088.390137,384.480011,-0.030611958391225436,-0.044050783738570964,-0.01267321731566562,-0.06473031515950589,5.700036461346937,4.423203945898067,56.30249540705869,11.6408346356755
2018-06-26,1691.089966,281.194763,6141.569824,399.390015,0.016799411716810875,0.012879594638613323,0.008734605668059947,0.03877965973112718,5.812593132378749,4.493052614363763,56.80301010823516,12.131041901564442
2018-06-27,1660.51001,279.565887,5871.279785,390.390015,-0.018082985893608017,-0.005792696786461993,-0.04400992689910688,-0.022534364060153078,5.689401106867054,4.4612330261366715,54.2591038588234,11.835142222865464
2018-06-28,1701.449951,280.181671,6203.799805,395.420013,0.024655040170459497,0.0022026435578672565,0.0566350152226649,0.012884545727943397,5.854328559873178,4.473262175879704,57.38870404705869,12.000517199760631
2018-06-29,1699.800049,280.261169,6385.379883,391.429993,-0.0009697035161277956,0.0002837373326964876,0.02926917110601379,-0.010090586891968845,5.847681893367974,4.474815144690637,59.09769301647045,11.869334351315912
2018-07-02,1713.780029,279.09906,6509.580078,398.179993,0.008224484996470327,-0.0041465216324705345,0.0194507135480948,0.017244462919835613,5.90400055036058,4.4521137052594,60.266636028235155,12.091259110340145
2018-07-03,1693.959961,278.234924,6590.060059,390.519989,-0.011565117847455064,-0.0030961623446529307,0.012363313767656647,-0.01923754114888443,5.824154970376766,4.435233076106409,61.02409467294105,11.839415474514269
2018-07-05,1699.72998,275.861115,6602.02002,398.390015,0.003406231040191665,-0.0085316716028071,0.0018148485587268226,0.020152684169004287,5.847399618859941,4.3888614524163545,61.13665901176457,12.098164159486782
2018-07-06,1710.630005,277.261566,6758.080078,408.25,0.006412797990419605,0.00507665243069888,0.023638228531151828,0.024749578625859803,5.891310609375366,4.416218829007463,62.60545955764692,12.422338203206419
2018-07-09,1739.02002,276.387512,6306.850098,418.970001,0.016596233502872426,-0.003152452799750849,-0.0667689602360465,0.02625842253521138,6.005680409389382,4.399144454795896,58.358589157646925,12.774787631156723
2018-07-10,1743.069946,270.547302,6394.359863,415.630005,0.0023288553055300643,-0.0211305133062597,0.013875351980817019,-0.007971921598272202,6.0219956253796365,4.285057761051413,59.182210475293985,12.664976104128293
2018-07-11,1755.0,277.768127,6253.600098,418.649994,0.006844277263443832,0.02668969509812369,-0.022013112808130342,0.007266051448812094,6.070056110382424,4.426114341269847,57.8574126870587,12.764266523547677
2018-07-12,1796.619995,277.142395,6229.830078,413.5,0.023715096866096852,-0.0022527134655733194,-0.0038010137564763458,-0.012301430965743654,6.237723175888883,4.413890860427528,57.63369485176458,12.59494634911416
2018-07-13,1813.030029,279.496338,6268.75,395.799988,0.009133836896878078,0.008493622926221578,0.00624734888635925,-0.04280534945586456,6.303831358882206,4.459874407959717,57.99999999999988,12.0130099198066
2018-07-16,1822.48999,277.301331,7326.700195,400.480011,0.005217762998232178,-0.007853437421423304,0.16876573399800598,0.011824212081583019,6.34194101989191,4.416995625967974,67.95717830588221,12.166878508918137
2018-07-17,1843.930054,280.13205,7383.390137,379.480011,0.011764160087375686,0.010208097414433182,0.007737445301595258,-0.05243707406909759,6.428312789401988,4.472292845011414,68.49073070117632,11.476445925287187
2018-07-18,1842.920044,281.760925,7477.5,375.130005,-0.0005477485427437534,0.005814668475099483,0.01274615877717089,-0.01146307018526993,6.424243941896549,4.504112413703814,69.37647058823514,11.333427549982895
2018-07-19,1812.969971,274.877808,7333.930176,364.230011,-0.016251422896781942,-0.024428926757675717,-0.019200243931795424,-0.02905657733243705,6.3035894139079165,4.36965285468343,68.02522518588219,10.975060358602807
